,transcript,user_action
1261,can you increase the brightness of the lights in the bedroom,IncreaseBrightness
1262,make the flat turn on,SwitchLightOn
1263,make the living room dimmer,DecreaseBrightness
1264,Make the living room light on,DecreaseBrightness
1265,make the lounge twenty two,SetLightBrightness
1266,make meeting room flat fifty,SetLightBrightness
1267,make the pantry five percent percent in brightness,SetLightBrightness
1268,make the pantry lights to twelve,SetLightBrightness
1269,make the patio brighter,IncreaseBrightness
1270,make the room bit darker,DecreaseBrightness
1271,make the room brighter,IncreaseBrightness
1272,at just brightness to fifty,SetLightBrightness
1273,can you increase the brightness,IncreaseBrightness
1274,make the studio lighting to be at the twelve setting,SetLightBrightness
1275,make the studio light off,SwitchLightOff
1276,make the toilet green lights,SetLightColor
1277,make twenty two the brightness instead.,SetLightBrightness
1278,way you change the like in please,SetLightColor
1279,more light please,IncreaseBrightness
1280,more lights please,IncreaseBrightness
1281,cold bright setting in the dining room entire,SetLightBrightness
1282,my bedroom needs to be darker,DecreaseBrightness
1283,no lights in the garden,SwitchLightOff
1284,can all after lightening level in the studio,IncreaseBrightness
1285,value cut out lights in the pantry,SwitchLightOff
1286,"Make google, turn off lights can entire flat",SwitchLightOff
1287,"google, turn off lights",SwitchLightOff
1288,Once you enter the laundry room turn on the lights,SwitchLightOn
1289,please turn on the light,SwitchLightOn
1290,Place the cellar lights in the off position,SwitchLightOff
1291,Place the lighting on level twenty two in the possible,SetLightBrightness
1292,please activate the lights,SwitchLightOn
1293,please just the cubicle light so its brighter,IncreaseBrightness
1294,please adjust the light brightness to go lower please,DecreaseBrightness
1295,can you light up the basement bit more,IncreaseBrightness
1296,please adjust the light bulbs to twelve,SetLightBrightness
1297,please brightened the lights in the meeting room,IncreaseBrightness
1298,please change entrance lights to blue,SetLightColor
1299,please change the lights to area and nine,SetLightColor
1300,please change the brightness in the room,DecreaseBrightness
1301,please changed the brightness level in parking area to twenty,SetLightBrightness
1302,please change the brightness level in the backyard yard to fifty,SetLightBrightness
1303,please changing the color in the large meeting room to pink,SetLightColor
1304,please can the color of the flat rid,SetLightColor
1305,please change the color to pink,SetLightColor
1306,can you make it tad brighter please,IncreaseBrightness
1307,please change the cold to area in the bathroom,SetLightColor
1308,please changed light color in the kitchen to blue,SetLightColor
1309,please change the lighting to twelve in one shed,SetLightBrightness
1310,please change the light green,SetLightColor
1311,please can the lights in them waiting room for rid can is,SetLightColor
1312,please change lights to area in the cellar,SetLightColor
1313,Place changed the lights to red,SetLightColor
1314,please change the lights to twenty two in the house,SetLightBrightness
1315,vestibule the living room made red,SetLightColor
1316,please cut off all light,SwitchLightOff
1317,can you Make it brighter inside,IncreaseBrightness
1318,please decrease the brightness,DecreaseBrightness
1319,please decrease the brightness,DecreaseBrightness
1320,please dim light,DecreaseBrightness
1321,please dim the lights,DecreaseBrightness
1322,please flick the lights on,SwitchLightOn
1323,please get rid of the lights,SwitchLightOff
1324,please get the lights off,SwitchLightOff
1325,please go on and increase the brightness,IncreaseBrightness
1326,please have the waiting room be less bright,DecreaseBrightness
1327,please increase lights,IncreaseBrightness
1328,can you make it dimmer and here,DecreaseBrightness
1329,please increase the brightness of the lights,IncreaseBrightness
1330,please increase the brightness of the lights in the kids room,IncreaseBrightness
1331,please increase the brightness of the lights in the small meeting room,IncreaseBrightness
1332,please increase the brighness of the flat,IncreaseBrightness
1333,please increase the garage,IncreaseBrightness
1334,please increase the meeting,IncreaseBrightness
1335,please increase lights in the office,IncreaseBrightness
1336,these will area the brightness for me,DecreaseBrightness
1337,please lower the lights in the room,DecreaseBrightness
1338,please lower the lights,DecreaseBrightness
1339,can you make the bedroom lights go up,IncreaseBrightness
1340,please make it brighter,IncreaseBrightness
1341,please make the color red,SetLightColor
1342,please make the want flat blue,SetLightColor
1343,please make the flat room blue,SetLightColor
1344,please make the light let,SetLightColor
1345,please make to light red,SetLightColor
1346,please make the lights brighter,IncreaseBrightness
1347,please make the flat green,SetLightColor
1348,please make the light green in the dining room,SetLightColor
1349,please make the flat pink,SetLightColor
1350,can you make the brightness twelve,SetLightBrightness
1351,please make lights pink in my bedroom,SetLightColor
1352,please make the vestibule lighting to be at twelve,SetLightBrightness
1353,please put off the pantry,SwitchLightOff
1354,please set it two five,SetLightBrightness
1355,please at lounge brightness at twenty percent,SetLightBrightness
1356,the rid the nine make ten to nine,SetLightBrightness
1357,please rid the brightness to five percent,SetLightBrightness
1358,please at the light brightness level of basement to thirty nine,SetLightBrightness
1359,the serial the rid cold to change,SetLightBrightness
1360,please set the office lights down,DecreaseBrightness
1361,can you make the lights blue,SetLightColor
1362,please set the office to twenty two for the intensity,SetLightBrightness
1363,please set the studio to level too for the light intensity,SetLightBrightness
1364,please set the toilet lighting to two,SetLightBrightness
1365,shed rid the toilet room like to too,SetLightBrightness
1366,please shut off the lighting,SwitchLightOff
1367,please shut off the lights above the toilet,SwitchLightOff
1368,please shut off the lights,SwitchLightOff
1369,please stop the lights,SwitchLightOff
1370,create switch my lights on cella,SwitchLightOn
1371,please switch on the lights for the facilities,SwitchLightOn
1372,can you make the light brighter,IncreaseBrightness
1373,Place child's on my cubicle if,SwitchLightOn
1374,please turn the lights,SwitchLightOn
1375,please area the color of the light to be red please,SetLightColor
1376,way switch to pink living,SetLightColor
1377,please to the green,SetLightColor
1378,less turned down the brightness,SwitchLightOff
1379,please turn down the light intensity,DecreaseBrightness
1380,please turn down the lights,DecreaseBrightness
1381,please turn down the lights and the entrance area,DecreaseBrightness
1382,please turn down the lights in the pantry,DecreaseBrightness
1383,don't just bedroom brightness level to seventy-three tree,SetLightBrightness
1384,can you make the light dimmer in the living room,DecreaseBrightness
1385,please turn light area in large meeting room,SetLightColor
1386,please turn lights up,IncreaseBrightness
1387,please turn my light on,SwitchLightOn
1388,please don't off all light,SwitchLightOff
1389,please turn off all lights,SwitchLightOff
1390,please turn off the cellar like,SwitchLightOff
1391,please turn off the lighting,SwitchLightOff
1392,please turn not the lighting,SwitchLightOff
1393,please turn off the lights in the bedroom,SwitchLightOff
1394,please turn off the lights in the bedroom,SwitchLightOff
1395,can you make the lights green in the basement,SetLightColor
1396,please turn of the lights in the vestibule,SwitchLightOff
1397,let's turn Throughout the lights in this room,SwitchLightOff
1398,please done off the light,SwitchLightOff
1399,please after of the red made,SwitchLightOff
1400,the turned on my parking lights,SwitchLightOn
1401,please turn on the lights,SwitchLightOn
1402,please turn on the lights and the entrance,SwitchLightOn
1403,please don't on the leave room lights,SwitchLightOn
1404,please turned down the brightness of the light above just bed,DecreaseBrightness
1405,please turn the brightness up,IncreaseBrightness
1406,can you make the lights green,SetLightColor
1407,please turn the cella to thirty nine,SetLightBrightness
1408,please turn the kids room brightness to fifty,SetLightBrightness
1409,please turn the kitchen lights on,SwitchLightOn
1410,please turn the light on for me,SwitchLightOn
1411,please turn the lights down,DecreaseBrightness
1412,please turn the lights down in the waiting room,DecreaseBrightness
1413,please turn the lights down to lower setting in the living room,DecreaseBrightness
1414,the turned the lights,DecreaseBrightness
1415,please turn the lights off,SwitchLightOff
1416,please stand the so in the garden,SwitchLightOff
1417,can you make lights in the office green,SetLightColor
1418,please turn the lights up in this room,SwitchLightOff
1419,please turn the living room lights to twelve,SetLightBrightness
1420,please turn the patio lights up for me,IncreaseBrightness
1421,please turn up lights in appartment,IncreaseBrightness
1422,turn up the lighting in the toilets,IncreaseBrightness
1423,please turn of the flat bit more,IncreaseBrightness
1424,please turn up the lights,IncreaseBrightness
1425,please decrease the brightness,DecreaseBrightness
1426,please set the brightness of the light to seventy-three tree,SetLightBrightness
1427,power on the lamps,SwitchLightOn
1428,can you made it outside light green,SetLightColor
1429,want made lamp in the toilets,SwitchLightOn
1430,lower on the light,SwitchLightOn
1431,on lights in the bedroom,SwitchLightOn
1432,power on the much lamps,SwitchLightOn
1433,now are the cubicle lamps to ten,SetLightBrightness
1434,are the lamps the two set,SetLightBrightness
1435,for the office lights,SwitchLightOn
1436,put that from brightness to fifty,SetLightBrightness
1437,put lights can in higher intense you to be please,IncreaseBrightness
1438,for less to blue,SetLightColor
1439,you please brighten this room up bit,IncreaseBrightness
1440,put on the lights in the cella at two percent,SetLightBrightness
1441,mood parking lights at level cella,SetLightBrightness
1442,Put the light must here that it ten,SetLightBrightness
1443,put the cellar lights to the,SwitchLightOff
1444,put the kids bedroom lights on twelve,SetLightBrightness
1445,put the lighting level ten,SetLightBrightness
1446,put the lights in the living room at level thirty nine,SetLightBrightness
1447,put the five in the made glow select,SetLightBrightness
1448,put the lights off in the bedroom,SwitchLightOff
1449,put the lights on,SwitchLightOn
1450,and two please the the out room large to colored,SetLightColor
1451,put the lights on please,SwitchLightOn
1452,put the lights to twelve percent percent in the bathroom,SetLightBrightness
1453,not the Click to two in the backyard yard,SetLightBrightness
1454,put the parking brightness at twenty,SetLightBrightness
1455,Quickly put on the lights in the dining room as am very hungry,SwitchLightOn
1456,raise the lights in the changing room,IncreaseBrightness
1457,raise the lights and the laundry,IncreaseBrightness
1458,decrease basement brightness to two percent set,SetLightBrightness
1459,It's brightness,DecreaseBrightness
1460,reduce brightness to fifty the house,SetLightBrightness
1461,the studio lights need to be increased,IncreaseBrightness
1462,the toilet light should be blue,SetLightColor
1463,and the rid the darkness to enter to for house,SetLightBrightness
1464,the toilets should have green lighting,SetLightColor
1465,there is too much light in here,DecreaseBrightness
1466,there is too much light in the bedroom,DecreaseBrightness
1467,Throughout the house turn up the light power,IncreaseBrightness
1468,one down the brightness from the laundry room,DecreaseBrightness
1469,don't all light on,SwitchLightOn
1470,turn lights down please,DecreaseBrightness
1471,turn backyard yard lights off,SwitchLightOff
1472,turn basement lights on please,SwitchLightOn
1473,turn basement flat to pink,SetLightColor
1474,can the set to cella of room to seventy-three tree,SetLightBrightness
1475,to room kids,SwitchLightOff
1476,turn brightness down in bedroom,DecreaseBrightness
1477,turn down bedroom lights,DecreaseBrightness
1478,turned down lights in tree appartment,DecreaseBrightness
1479,turned down the basement lights,DecreaseBrightness
1480,turned down the brightness,DecreaseBrightness
1481,turn down the brightness for me,DecreaseBrightness
1482,turned out the brightness to the laundry room,DecreaseBrightness
1483,turned down the brightness of the lighting,DecreaseBrightness
1484,and on the brightness please,DecreaseBrightness
1485,can the set the kids room light to five,SetLightBrightness
1486,turned down the light in the bedroom,DecreaseBrightness
1487,turn down the light one lounge,DecreaseBrightness
1488,turned down the light intensity in the dining room,DecreaseBrightness
1489,turn down the light power all the way,SwitchLightOff
1490,turned down the light power in the pantry all the way,SwitchLightOff
1491,turned down the lighting in the kitchen bedroom,DecreaseBrightness
1492,turned down the lights,DecreaseBrightness
1493,turn down the lights bit,DecreaseBrightness
1494,can you please change the brightness in the kids room to twenty two,SetLightBrightness
1495,reduce the brightness in my bedroom as am going to sleep,DecreaseBrightness
1496,reduce the brightness in the bedroom please,DecreaseBrightness
1497,reduce the light brightness in the backyard to level ten,SetLightBrightness
1498,select pink light color,SetLightColor
1499,set all lamps to level thirty nine in the studio,SetLightBrightness
1500,set all lamps to too in the laundry room,SetLightBrightness
1501,rid brightness in pantry to seventy-three tree soon,SetLightBrightness
1502,set brightness to twenty please,SetLightBrightness
1503,set cellar lights to fifty,SetLightBrightness
1504,set light color to blue,SetLightColor
1505,can you please change the brightness in the lounge to thirty nine,SetLightBrightness
1506,at lights to green,SetLightColor
1507,set lights to level thirty nine,SetLightBrightness
1508,this lights to level twenty two,SetLightBrightness
1509,set lights to the,SwitchLightOff
1510,set lights to twenty two percent percent the basement,SetLightBrightness
1511,set all lights to two in the parking room please,SetLightBrightness
1512,Set leave room bright level to twenty two,SetLightBrightness
1513,set bedroom into to for,SetLightBrightness
1514,set the basement lights to two,SetLightBrightness
1515,set the out in lights to the on position,SwitchLightOn
1516,can you please change the color to blue,SetLightColor
1517,red the bedroom lights to two for brightness,SetLightBrightness
1518,set the brightness in the bathroom at level all,SetLightBrightness
1519,Make the brightness in the bedroom to twenty two,SetLightBrightness
1520,set the brightness in the kids room to level twenty two,SetLightBrightness
1521,Set the brightness in the living room to cella,SetLightBrightness
1522,set them rid this level of light to twenty,SetLightBrightness
1523,at the brightness level to seventy-three tree,SetLightBrightness
1524,set the brightness of the light bulbs to fifty,SetLightBrightness
1525,set the brightness of the bulbs to fifty,SetLightBrightness
1526,set patio two fifty,SetLightBrightness
1527,turn down the lights in here,DecreaseBrightness
1528,turned down the lights and the basement,DecreaseBrightness
1529,can you set the meeting room to be pink hue?,SetLightColor
1530,turn down the lights in the bedroom,DecreaseBrightness
1531,turn down the lights in the cella,DecreaseBrightness
1532,turned down the lights in the changing room,DecreaseBrightness
1533,turn down the lights in the kitchen,DecreaseBrightness
1534,turned and the light in the large meeting whole,SwitchLightOff
1535,turned down the lights into toilet room,DecreaseBrightness
1536,turn down the lights in the waiting room,DecreaseBrightness
1537,turned down the lights one notch,DecreaseBrightness
1538,done down the made please,SwitchLightOff
1539,done done the be,DecreaseBrightness
1540,can you shut off the house lights,SwitchLightOff
1541,turn light on in toilet room,SwitchLightOn
1542,sun meeting area,SetLightColor
1543,turn flat in the laundry room brighter,IncreaseBrightness
1544,turn on my lights everywhere please,SwitchLightOn
1545,turn light on in the waiting room,SwitchLightOn
1546,turn lights on over the toilet,SwitchLightOn
1547,turn lights to green,SetLightColor
1548,turn living room lights to red,SetLightColor
1549,don't create room lights off,SwitchLightOff
1550,turn on my living room light please,SwitchLightOn
1551,can you shut the lights off at the entrance,SwitchLightOff
1552,turn off all the lamps,SwitchLightOff
1553,turn off lights,SwitchLightOff
1554,turn off my bedroom lighter please,SwitchLightOff
1555,not parking flat,SwitchLightOff
1556,ten after room flat,SwitchLightOff
1557,down after cellar flat,SwitchLightOff
1558,turn off the light power,SwitchLightOff
1559,turn off the living,SwitchLightOff
1560,turn off lit,SwitchLightOff
1561,turn off the lights,SwitchLightOff
1562,can you stop the lighting,SwitchLightOff
1563,turn off the lights at your thirty,SwitchLightOff
1564,turn off the lights for me,SwitchLightOff
1565,don't now the lights for the dining room,SwitchLightOff
1566,turn off the lights in five minutes,SwitchLightOff
1567,turned off to lights in the basement,SwitchLightOff
1568,turn off the lights in the bathroom,SwitchLightOff
1569,turn off the lights in the bedroom,SwitchLightOff
1570,turn off the lights in the bedroom,SwitchLightOff
1571,ten ten the are select,SwitchLightOff
1572,going off the light and the on,SwitchLightOff
1573,can you switch on my appartment lights,SwitchLightOn
1574,turn off the lights in the kitchen,SwitchLightOff
1575,turn off the lights in living room,SwitchLightOff
1576,turn up the lights in the toilets,SwitchLightOff
1577,turn off the lights in this room,SwitchLightOff
1578,turn off the light no,SwitchLightOff
1579,turn your lights to the basement,SwitchLightOff
1580,turn off the lights to the toilets,SwitchLightOff
1581,turn to for the change light,SwitchLightOff
1582,after by flat,SwitchLightOff
1583,turn off the toilet lights,SwitchLightOff
1584,adjust of brightness in the let to fifty,SetLightBrightness
1585,stand the switched the lights on for my entire house,SwitchLightOn
1586,turn on all the lights in the entire house,SwitchLightOn
1587,turn on bedroom light,SwitchLightOn
1588,turn on large light,SwitchLightOn
1589,turn on lights above the toilet,SwitchLightOn
1590,turn on lights in the backyard yard,SwitchLightOn
1591,turn for lights into cellar,SwitchLightOn
1592,turn on leave room lights,SwitchLightOn
1593,put on my lights now,SwitchLightOn
1594,ten are my lights please,SwitchLightOn
1595,turn on red light,SetLightColor
1596,can you switch the kids to okay green Click,SetLightColor
1597,turn on the bathroom lights,SwitchLightOn
1598,turn on the bedroom light,SwitchLightOn
1599,turn on the changing room lights,SwitchLightOn
1600,turned on the entrance lights,SwitchLightOn
1601,turn on the laundry room waiting,SwitchLightOn
1602,turn on ten lights,SwitchLightOn
1603,turn on the lights above the toilet,SwitchLightOn
1604,turn on the lights in the that room,SwitchLightOn
1605,turn on the lights in the bedroom,SwitchLightOn
1606,turn on the lights in the changing room,SwitchLightOn
1607,can you sun down the light,DecreaseBrightness
1608,turn on light in the entrance,SwitchLightOn
1609,turned on the lights in the kids room,SwitchLightOn
1610,turn on the lights can the laundry room,SwitchLightOn
1611,turn on the lights can the waiting room,SwitchLightOn
1612,turn the lights please,SwitchLightOn
1613,turn on the lights,SwitchLightOn
1614,turn on the office lighting,SwitchLightOn
1615,turn on the office lights,SwitchLightOn
1616,turn on the laundry light,SwitchLightOn
1617,turned the spotlight in the room,SwitchLightOn
1618,can you turn off the cellar lights,SwitchLightOff
1619,turn on the toilet lights,SwitchLightOn
1620,turn out the cellar lights,SwitchLightOff
1621,turn parking light setting to off,SwitchLightOff
1622,turn studio lights on,SwitchLightOn
1623,turn the backyard lights pink,SetLightColor
1624,to the basement nine to set to in,SetLightBrightness
1625,turn the basement flat down,DecreaseBrightness
1626,on the bedroom light,SwitchLightOff
1627,turn the bedroom light to seventy-three tree,SetLightBrightness
1628,turn the bedroom lights on,SwitchLightOn
1629,can you turn off the light in the toilet,SwitchLightOff
1630,turn the bedroom to twenty,SetLightBrightness
1631,stand the brightness down,DecreaseBrightness
1632,turn the brightness down in the pink room,DecreaseBrightness
1633,turn the brightness down in the toilet room,DecreaseBrightness
1634,turn the brightness in the flat to two,SetLightBrightness
1635,turn the brightness to level twelve,SetLightBrightness
1636,turn the brightness to thirty nine percent percent,SetLightBrightness
1637,turn the brightness up in the basement,IncreaseBrightness
1638,turned the cold brightness down,DecreaseBrightness
1639,turn the bulbs on brighter everywhere,IncreaseBrightness
1640,change you turn off its,SwitchLightOff
1641,turned the cella lights to twelve for set,SetLightBrightness
1642,turned the cellar lights to fifty percent percent,SetLightBrightness
1643,and turned the changing room lights on,SwitchLightOff
1644,turn the changing room lights to ten percent percent,SetLightBrightness
1645,turn the cubicle lights to level ten,SetLightBrightness
1646,turned the entrance flat on,SwitchLightOn
1647,turn the entrance lights on,SwitchLightOn
1648,turn the flat light to twelve,SetLightBrightness
1649,turn the flat room off,SwitchLightOff
1650,turn the garden light up can notch,IncreaseBrightness
1651,getting out of the light for the not room,SwitchLightOff
1652,turn the kids bedroom lit red,SetLightColor
1653,turn the kitchen lights green,SetLightColor
1654,done the kitchen flat on toilet,IncreaseBrightness
1655,turn the large meeting room green,SetLightColor
1656,turn the laundry room lights to twenty two,SetLightBrightness
1657,don't the light intensity to level thirty nine,SetLightBrightness
1658,turned the flat on,SwitchLightOn
1659,turn the light on in the bedroom,SwitchLightOn
